Vulnerability assessment method for domino effects analysis in chemical clusters,ScienceDirect,
A lightweight IoT intrusion detection model based on improved BERT-of-Theseus,ScienceDirect,
Audio-deepfake detection: Adversarial attacks and countermeasures,ScienceDirect,
Cluster-based wireless sensor network framework for denial-of-service attack detection based on variable selection ensemble machine learning algorithms,ScienceDirect,
A genomic rule-based KNN model for fast flux botnet detection,ScienceDirect,
The applicability of a hybrid framework for automated phishing detection,ScienceDirect,
"Vulnerability assessment of drought in India: Insights from meteorological, hydrological, agricultural and socio-economic perspectives",ScienceDirect,
Deep learning enabled intrusion detection system for Industrial IOT environment,ScienceDirect,
Vulnerability assessment method for domino effects analysis in chemical clusters,ScienceDirect,
A lightweight IoT intrusion detection model based on improved BERT-of-Theseus,ScienceDirect,
Audio-deepfake detection: Adversarial attacks and countermeasures,ScienceDirect,
Cluster-based wireless sensor network framework for denial-of-service attack detection based on variable selection ensemble machine learning algorithms,ScienceDirect,
A genomic rule-based KNN model for fast flux botnet detection,ScienceDirect,
The applicability of a hybrid framework for automated phishing detection,ScienceDirect,
"Vulnerability assessment of drought in India: Insights from meteorological, hydrological, agricultural and socio-economic perspectives",ScienceDirect,
Deep learning enabled intrusion detection system for Industrial IOT environment,ScienceDirect,
Model-agnostic adversarial example detection via high-frequency amplification,ScienceDirect,
The robust scheme for intrusion detection system in Internet of Things,ScienceDirect,
Optical Coherence Tomography of Plaque Vulnerability and Rupture: JACC Focus Seminar Part 1/3,ScienceDirect,
Black-box attacks against log anomaly detection with adversarial examples,ScienceDirect,
"MobiPCR: Efficient, accurate, and strict ML-based mobile malware detection",ScienceDirect,
GlareShell: Graph learning-based PHP webshell detection for web server of industrial internet,ScienceDirect,
An efficient artificial intelligence approach for early detection of cross-site scripting attacks,ScienceDirect,
Vulnerability analysis method based on risk assessment for gas transmission capabilities of natural gas pipeline networks,ScienceDirect,
SYN-GAN: A robust intrusion detection system using GAN-based synthetic data for IoT security,ScienceDirect,
Vulnerability analysis of Qualcomm Secure Execution Environment (QSEE),ScienceDirect,
Social Vulnerability Is Associated with Poorer Outcomes in Preschool Children With Recurrent Wheezing Despite Standardized and Supervised Medical Care,ScienceDirect,
Towards evaluating robustness of violence detection in videos using cross-domain transferability,ScienceDirect,
Trans-Myocardial Blood Interleukin-6 Levels Relate to Intracoronary Imaging-Defined Features of Plaque Vulnerability and Predict Procedure-Induced Myocardial Infarction,ScienceDirect,
A PMU-based back-up protection scheme for fault detection considering uncertainties,ScienceDirect,
Federated reinforcement learning based intrusion detection system using dynamic attention mechanism,ScienceDirect,
Collaborative device-level botnet detection for internet of things,ScienceDirect,
A new normative approach to intrusion detection in manufacturing 4.0,ScienceDirect,
Vulnerability index related to populations at-risk for landslides in the Brazilian Early Warning System (BEWS),ScienceDirect,
Unmanned aerial vehicle intrusion detection: Deep-meta-heuristic system,ScienceDirect,
Landcover-based detection of rapid impacts of extreme storm on coastal landscape,ScienceDirect,
Vulnerability of classifiers to evolutionary generated adversarial examples,ScienceDirect,
"SEAF: A Scalable, Efficient, and Application-independent Framework for container security detection",ScienceDirect,
A review of Machine Learning-based zero-day attack detection: Challenges and future directions,ScienceDirect,
Deep learning-based malicious smart contract detection scheme for internet of things environment,ScienceDirect,
